factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,benchmark_return,excess_return
Grouped8_Equal,20250716,0.004268354481661977,0.0,0,0,0,0.0,0.00029226682370575574,0.003976087657956221
Grouped8_Equal,20250717,0.009985180763685776,0.0,0,0,0,0.0,0.009256647861030975,0.0007285329026548003
Grouped8_Equal,20250718,0.001741102156363912,0.0,1,1,0,0.0,0.0038570226603469315,-0.0021159205039830197
Grouped8_Equal,20250721,0.011406358046641665,0.0,0,0,0,0.0,0.009054304439099381,0.0023520536075422836
Grouped8_Equal,20250722,0.0034295984866997142,0.0,1,1,0,0.0,0.00611636273247762,-0.002686764245777906
Grouped8_Equal,20250723,-0.007902595349318186,0.0,1,1,0,0.0,-0.002852417743556823,-0.005050177605761362
Grouped8_Equal,20250724,0.009953306511655729,0.0,2,2,0,0.0,0.010754549821935688,-0.0008012433102799598
Grouped8_Equal,20250725,0.0004336342992446284,0.0,2,2,0,0.0,-0.0015594257104635245,0.0019930600097081527
Grouped8_Equal,20250728,0.009581386891413812,0.0,1,1,0,0.0,0.0034192627123557084,0.006162124179058103
Grouped8_Equal,20250729,0.0034180244166609453,0.0,1,1,0,0.0,0.004489060752612017,-0.0010710363359510721
Grouped8_Equal,20250730,-0.00463556900795256,0.0,0,0,0,0.0,-0.003988754616025547,-0.0006468143919270124
Grouped8_Equal,20250731,-0.009176756429442323,0.0,1,1,0,0.0,-0.013847708971375217,0.0046709525419328934
Grouped8_Equal,20250801,0.0007419211023240531,0.0,1,1,0,0.0,-0.0014811128271722263,0.0022230339294962796
Grouped8_Equal,20250804,0.013666151530552914,0.37764932562620424,2,2,0,0.0,0.007454389701778696,0.006211761828774217
Grouped8_Equal,20250805,0.007926426049920028,0.0,2,2,0,0.0,0.007751993147120384,0.00017443290279964448
Grouped8_Equal,20250806,0.007892401500938529,0.0,2,2,0,0.0,0.006145988652778378,0.0017464128481601508
Grouped8_Equal,20250807,-0.0006447707685917538,0.0,3,3,0,0.0,-0.00018379852252548012,-0.0004609722460662737
Grouped8_Equal,20250808,0.002867186619646848,0.0,3,3,0,0.0,-0.0023382749001432668,0.005205461519790115
Grouped8_Equal,20250811,0.014726057620899794,0.0,2,2,0,0.0,0.00983678181504688,0.004889275805852914
Grouped8_Equal,20250812,-0.0005721008805595248,0.0,2,2,0,0.0,0.0033676411338388057,-0.00393974201439833
Grouped8_Equal,20250813,0.010995546547870187,0.0,3,3,0,0.0,0.010125523133480252,0.0008700234143899348
Grouped8_Equal,20250814,-0.017043068587571635,0.0,3,3,0,0.0,-0.008456586363006502,-0.008586482224565133
Grouped8_Equal,20250815,0.02040929313265503,0.0,4,4,0,0.0,0.014087999908859894,0.006321293223795137
Grouped8_Equal,20250818,0.018149473422165302,0.0,3,3,0,0.0,0.013774473518482822,0.0043749999036824805
Grouped8_Equal,20250819,0.003635082932242157,0.0,2,2,0,0.0,-0.0005675499234877313,0.004202632855729888
Grouped8_Equal,20250820,0.0040441795502232725,0.0,4,4,0,0.0,0.009663675539854921,-0.005619495989631649
Grouped8_Equal,20250821,-0.004357009591836789,0.0,3,3,0,0.0,-0.0013061637309246255,-0.0030508458609121636
Grouped8_Equal,20250822,0.005935219358840593,0.0,3,3,0,0.0,0.016496821146642304,-0.010561601787801711
Grouped8_Equal,20250825,0.012753658808022296,0.0,3,3,0,0.0,0.018085820590332258,-0.005332161782309962
Grouped8_Equal,20250826,0.0003527738714461646,0.0,2,2,0,0.0,-0.0010984826116665625,0.001451256483112727
Grouped8_Equal,20250827,-0.02293913055763454,0.0,1,1,0,0.0,-0.01760589678818647,-0.005333233769448071
Grouped8_Equal,20250828,0.007948072289562359,0.0,2,1,1,0.0009633911368015414,0.015741124572828058,-0.007793052283265699
Grouped8_Equal,20250829,0.0005608662796347532,0.0,3,2,1,0.0009633911368015414,0.00357751075173085,-0.003016644472096097
Grouped8_Equal,20250901,0.009466471058886912,0.0,3,2,1,0.0009633911368015414,0.007948914589821943,0.001517556469064969
Grouped8_Equal,20250902,-0.021917746574915044,0.3853564547206165,0,0,0,0.0,-0.014810717242482618,-0.007107029332432426
Grouped8_Equal,20250903,-0.017850634754945256,0.0,0,0,0,0.0,-0.012027003937086,-0.005823630817859256
Grouped8_Equal,20250904,-0.015638367190396598,0.0,1,1,0,0.0,-0.020216700883904704,0.0045783336935081055
Grouped8_Equal,20250905,0.02760515436254303,0.0,1,1,0,0.0,0.025532806543875575,0.0020723478186674554
Grouped8_Equal,20250908,0.012185837761016326,0.0,1,1,0,0.0,0.006846567497972966,0.00533927026304336
Grouped8_Equal,20250909,-0.011374978048241731,0.0,0,0,0,0.0,-0.009060526245891709,-0.002314451802350022
Grouped8_Equal,20250910,0.0035531132687850815,0.0,0,0,0,0.0,0.0020345658602261008,0.0015185474085589808
Grouped8_Equal,20250911,0.021095767731752316,0.0,1,1,0,0.0,0.02271704159687138,-0.0016212738651190627
Grouped8_Equal,20250912,-9.518054661618287e-05,0.0,1,1,0,0.0,-0.0017455324744161116,0.0016503519277999287
Grouped8_Equal,20250915,-0.0018387201919893583,0.0,1,1,0,0.0,0.0008464763967981348,-0.002685196588787493
Grouped8_Equal,20250916,0.010474528854649636,0.0,1,1,0,0.0,0.004644578400518462,0.005829950454131174
Grouped8_Equal,20250917,0.004283425097204441,0.0,1,1,0,0.0,0.006718899349838825,-0.002435474252634384
Grouped8_Equal,20250918,-0.011641444485786197,0.0,1,1,0,0.0,-0.010828165969429482,-0.0008132785163567149
