experiment,factor,period,included_strategy,excluded_strategy,included_d10_d1_annual_return,excluded_d10_d1_annual_return,d10_d1_annual_return_delta,included_top20_excess_annual_return,excluded_top20_excess_annual_return,top20_excess_annual_return_delta,included_rank_ic_mean,excluded_rank_ic_mean,rank_ic_mean_delta,included_d10_d1_max_drawdown,excluded_d10_d1_max_drawdown,d10_d1_max_drawdown_delta,included_top20_max_drawdown,excluded_top20_max_drawdown,top20_max_drawdown_delta,included_d10_d1_average_two_leg_turnover,excluded_d10_d1_average_two_leg_turnover,d10_d1_average_two_leg_turnover_delta,included_top20_average_monthly_turnover,excluded_top20_average_monthly_turnover,top20_average_monthly_turnover_delta,included_average_valid_stock_count,excluded_average_valid_stock_count,average_valid_stock_count_delta,included_average_available_component_count,excluded_average_available_component_count,average_available_component_count_delta
leave_one_out,Momentum_60D,2025H2,Full11_Equal,LOO_without_Momentum_60D,0.019007585897857338,0.03890340102876011,-0.019895815130902772,-0.059115765483196414,-0.05869459464773463,-0.0004211708354617816,-0.011851371711738118,0.007816719489308033,-0.01966809120104615,-0.016520250257826996,-0.013950389655888351,-0.002569860601938645,-0.06878461572191319,-0.06488353990521079,-0.003901075816702404,0.7040257181857698,0.6088302907193582,0.09519542746641152,0.3072593701171212,0.25421715877967904,0.053042211337442136,5197.666666666667,5197.666666666667,0.0,10.329867674357876,9.334707222223406,0.9951604521344706
leave_one_out,Momentum_60D,2026YTD,Full11_Equal,LOO_without_Momentum_60D,0.20151037111414016,0.059668710106551615,0.14184166100758855,-0.08141330754214726,-0.1277900378017891,0.04637673025964184,0.04052638135366577,0.045048113629280344,-0.004521732275614573,-0.02874857975136058,-0.0554009937739518,0.02665241402259122,-0.1298582533841477,-0.12263278655977106,-0.007225466824376636,0.6674966215663722,0.5744043926291885,0.09309222893718372,0.28201208474203715,0.23584441182020544,0.046167672921831715,5262.571428571428,5262.571428571428,0.0,10.301475558522185,9.308877151323049,0.9925984071991358
leave_one_out,Turnover_20D,2025H1,Full11_Equal,LOO_without_Turnover_20D,0.04231508001338491,0.05626981980379253,-0.013954739790407622,0.37607050735513936,0.35556129514642754,0.020509212208711824,-0.0057976311055892155,0.010898159786349101,-0.016695790891938317,-0.03212485106155938,-0.033628921688774294,0.0015040706272149151,-0.17210531685036368,-0.1605507493041871,-0.011554567546176564,0.6296339529107053,0.565936734282745,0.0636972186279603,0.2766749364059562,0.23623738273118366,0.04043755367477253,5149.0,5146.166666666667,2.83333333333303,10.380803621274376,9.382422030677647,0.998381590596729
leave_one_out,Turnover_20D,2025H2,Full11_Equal,LOO_without_Turnover_20D,0.019007585897857338,0.10306406484860386,-0.08405647895074653,-0.059115765483196414,-0.021013753455997097,-0.03810201202719932,-0.011851371711738118,0.02249575108159654,-0.034347122793334656,-0.016520250257826996,-0.003253143961327032,-0.013267106296499964,-0.06878461572191319,-0.06853595948012847,-0.0002486562417847171,0.7040257181857698,0.6018189441542986,0.10220677403147116,0.3072593701171212,0.24451739721100055,0.06274197290612063,5197.666666666667,5196.166666666667,1.5,10.329867674357876,9.331598267655087,0.9982694067027893
leave_one_out,Turnover_20D,2026YTD,Full11_Equal,LOO_without_Turnover_20D,0.20151037111414016,0.14969777656911987,0.051812594545020296,-0.08141330754214726,-0.12074070543379556,0.0393273978916483,0.04052638135366577,0.06400785263232676,-0.023481471278660994,-0.02874857975136058,-0.036922498015029226,0.008173918263668645,-0.1298582533841477,-0.12821808872881058,-0.0016401646553371174,0.6674966215663722,0.5716471536662854,0.09584946790008686,0.28201208474203715,0.23118546435115175,0.050826620390885396,5262.571428571428,5255.285714285715,7.285714285713766,10.301475558522185,9.30386222315683,0.9976133353653545
leave_one_out,Debt_to_Equity,2025H1,Full11_Equal,LOO_without_Debt_to_Equity,0.04231508001338491,0.044122331623191124,-0.0018072516098062152,0.37607050735513936,0.37128771627645496,0.004782791078684401,-0.0057976311055892155,-0.008444476717880688,0.002646845612291473,-0.03212485106155938,-0.028283971208862058,-0.003840879852697321,-0.17210531685036368,-0.1716150153972138,-0.0004903014531498773,0.6296339529107053,0.6797087364569306,-0.0500747835462253,0.2766749364059562,0.283795933453066,-0.007120997047109778,5149.0,5142.833333333333,6.16666666666697,10.380803621274376,9.380803621274376,1.0
leave_one_out,Debt_to_Equity,2025H2,Full11_Equal,LOO_without_Debt_to_Equity,0.019007585897857338,-0.00950770307052995,0.028515288968387287,-0.059115765483196414,-0.05314860556729695,-0.005967159915899467,-0.011851371711738118,-0.013238281971595968,0.0013869102598578504,-0.016520250257826996,-0.02254101890817295,0.006020768650345953,-0.06878461572191319,-0.06960678858963543,0.0008221728677222373,0.7040257181857698,0.7363412013330833,-0.032315483147313584,0.3072593701171212,0.31514255601043367,-0.007883185893312494,5197.666666666667,5190.666666666667,7.0,10.329867674357876,9.329867674357876,1.0
leave_one_out,Debt_to_Equity,2026YTD,Full11_Equal,LOO_without_Debt_to_Equity,0.20151037111414016,0.14389660631725087,0.05761376479688929,-0.08141330754214726,-0.07726264509304603,-0.004150662449101228,0.04052638135366577,0.040979755690928724,-0.0004533743372629531,-0.02874857975136058,-0.03952109159072503,0.010772511839364451,-0.1298582533841477,-0.12918082690686417,-0.000677426477283527,0.6674966215663722,0.6886227241161437,-0.02112610254977143,0.28201208474203715,0.2959759837425325,-0.013963899000495328,5262.571428571428,5248.714285714285,13.857142857143117,10.301475558522185,9.301475558522185,1.0
leave_one_out,Volatility,2025H1,Full11_Equal,LOO_without_Volatility,0.04231508001338491,0.052871913435848183,-0.010556833422463274,0.37607050735513936,0.40552716679164025,-0.029456659436500887,-0.0057976311055892155,-0.007861959201523864,0.002064328095934648,-0.03212485106155938,-0.026049702693622723,-0.006075148367936656,-0.17210531685036368,-0.18873429408778009,0.01662897723741641,0.6296339529107053,0.6839509072333182,-0.054316954322612854,0.2766749364059562,0.2900893835650871,-0.013414447159130927,5149.0,5149.0,0.0,10.380803621274376,9.400481171640159,0.9803224496342171
leave_one_out,Volatility,2025H2,Full11_Equal,LOO_without_Volatility,0.019007585897857338,0.007654698956007344,0.011352886941849993,-0.059115765483196414,-0.0758041345448135,0.01668836906161708,-0.011851371711738118,-0.03836478341329828,0.026513411701560158,-0.016520250257826996,-0.033853645244449004,0.01733339498662201,-0.06878461572191319,-0.07286735647872367,0.004082740756810477,0.7040257181857698,0.7213539371095234,-0.01732821892375369,0.3072593701171212,0.321362936461815,-0.01410356634469384,5197.666666666667,5197.666666666667,0.0,10.329867674357876,9.351570141137776,0.9782975332201005
