path,before_exists,after_exists,before_size,after_size,before_mtime_ns,after_mtime_ns,unchanged
database/data/bronze/adj_factor/adj_factor-14f152a246ee.parquet,True,True,42405,42405,1783444673054672600,1783444673054672600,True
database/data/bronze/adj_factor/adj_factor-15463a3542b2.parquet,True,True,49740,49740,1783445069437664700,1783445069437664700,True
database/data/bronze/adj_factor/adj_factor-15696da7f1d6.parquet,True,True,49062,49062,1783445016255678700,1783445016255678700,True
database/data/bronze/adj_factor/adj_factor-15cf00576819.parquet,True,True,56963,56963,1783445433981125200,1783445433981125200,True
database/data/bronze/adj_factor/adj_factor-166627fc96aa.parquet,True,True,55050,55050,1783445294973594400,1783445294973594400,True
database/data/bronze/adj_factor/adj_factor-16848130f27c.parquet,True,True,51890,51890,1783444954105289200,1783444954105289200,True
database/data/bronze/adj_factor/adj_factor-16ae049e1522.parquet,True,True,56417,56417,1783445334551943000,1783445334551943000,True
database/data/bronze/adj_factor/adj_factor-16b00e1967df.parquet,True,True,48899,48899,1783444997111920100,1783444997111920100,True
database/data/bronze/adj_factor/adj_factor-16c1d2d1ca1c.parquet,True,True,44160,44160,1783444732655837300,1783444732655837300,True
database/data/bronze/adj_factor/adj_factor-16e274cf9cbb.parquet,True,True,48360,48360,1783444827635992400,1783444827635992400,True
database/data/bronze/adj_factor/adj_factor-171055fdcccb.parquet,True,True,56550,56550,1783445315534718100,1783445315534718100,True
database/data/bronze/adj_factor/adj_factor-17622f476fa4.parquet,True,True,49387,49387,1783445045479053200,1783445045479053200,True
database/data/bronze/adj_factor/adj_factor-177c18fd13ee.parquet,True,True,49742,49742,1783445069013515900,1783445069013515900,True
database/data/bronze/adj_factor/adj_factor-17e768e47299.parquet,True,True,56343,56343,1783445306353816000,1783445306353816000,True
database/data/bronze/adj_factor/adj_factor-183e849c0b54.parquet,True,True,54022,54022,1783445259484699800,1783445259484699800,True
database/data/bronze/adj_factor/adj_factor-18c67fe1c695.parquet,True,True,51830,51830,1783444949825514900,1783444949825514900,True
