factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,composite_factor,bucket
Composite_RollingRankIC_D01,20260403,-0.019282706428842777,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260407,0.01226731278997931,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260408,0.04918127230954448,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260409,-0.00948170066291778,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260410,0.006326694790742446,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260413,0.0022305820255519087,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260414,0.016136611818548644,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260415,-0.0023583163686856632,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260416,0.015332988350550403,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260417,0.00998359706109839,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260420,0.012930710319481037,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260421,-0.004881602032190911,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260422,0.007333265377902662,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260423,-0.020495351518142628,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260424,-0.013810000190490166,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260427,0.00972487019816857,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260428,-0.017104118728737804,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260429,0.012820135816938576,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260430,0.010688929108173336,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260506,0.028537362852541676,0.0,1,1,0,0.0,Composite_RollingRankIC,1
