composite_factor,trade_date,ic,rank_ic,sample_count
Composite_Equal,20240830,-0.06388459248618217,-0.09641116365312663,5108
Composite_Equal,20240930,-0.0849805542665009,-0.11316740797523483,5109
Composite_Equal,20241031,-0.01242079382001484,-0.05987204565198656,5114
Composite_Equal,20241129,-0.0024466109170876976,0.07771965437534101,5129
Composite_Equal,20241231,0.07439920468348123,0.057350195552831426,5137
Composite_Equal,20250127,-0.051416927546483686,-0.1101062896077741,5155
Composite_Equal,20250228,0.10778163063113146,0.15917345013162854,5155
Composite_Equal,20250331,0.010071864148594985,-0.02726651762006423,5159
Composite_Equal,20250430,-0.037563668112932165,-0.04962006357908128,5125
Composite_Equal,20250530,-0.04534291380733531,-0.06402457204740582,5158
Composite_Equal,20250630,-0.006500709921693201,-0.02376274746225355,5175
Composite_Equal,20250731,0.01889247850220873,-0.0229376737506198,5189
Composite_Equal,20250829,0.0013041941933978768,-0.015893190508596326,5191
Composite_Equal,20250930,-0.03399034975046906,-0.032844317767318415,5200
Composite_Equal,20251031,-0.01716580348014151,-0.02117481972621201,5208
Composite_Equal,20251128,0.032862047660377466,0.04576844280736005,5214
Composite_Equal,20251231,0.061467903766961186,0.07891430898371601,5232
Composite_Equal,20260130,-0.0016967091404389537,-0.007754681633990972,5243
Composite_Equal,20260227,-0.022664188125713025,0.004001372493183651,5252
Composite_Equal,20260331,-0.019537885215306687,-0.052547089243962515,5258
Composite_Equal,20260430,0.07325144758216087,0.09731692151090406,5272
Composite_Equal,20260529,0.06748690993776897,0.07824223310780015,5288
Composite_Equal,20260630,0.03165309549456119,0.08530864967302917,5291
Composite_RollingRankIC,20220128,-0.08323223656134209,-0.09779097859488199,4423
Composite_RollingRankIC,20220228,0.02690872784663332,0.05030440486922977,4445
Composite_RollingRankIC,20220331,0.0834744178595935,0.07704977341637356,4478
Composite_RollingRankIC,20220429,-0.15560169494349171,-0.16239149429427205,4426
Composite_RollingRankIC,20220531,-0.0750324299835862,-0.10285925880139267,4487
Composite_RollingRankIC,20220630,-0.01924179933494267,-0.03966817760331736,4518
Composite_RollingRankIC,20220729,0.06102228220317468,0.11671781258265063,4556
Composite_RollingRankIC,20220831,0.10468909853293575,0.1830324120332057,4608
Composite_RollingRankIC,20220930,-0.02793969976021511,-0.038620336252838144,4655
Composite_RollingRankIC,20221031,-0.005126222690898714,0.03715780472929538,4685
Composite_RollingRankIC,20221130,0.0018909035937771748,0.04541806981254232,4727
Composite_RollingRankIC,20221230,0.008995673146341634,-0.02467562863089105,4726
Composite_RollingRankIC,20230131,0.1460107414841302,0.1895711970994868,4784
Composite_RollingRankIC,20230228,0.09816676626946406,0.20064895089033677,4812
Composite_RollingRankIC,20230331,0.15806371642828854,0.19903703873006603,4844
Composite_RollingRankIC,20230428,-0.005632889062404671,0.025113459713694736,4824
Composite_RollingRankIC,20230531,-0.05130220911319171,-0.05080932813771369,4888
Composite_RollingRankIC,20230630,0.21910157805758698,0.25801886291513787,4925
Composite_RollingRankIC,20230731,0.013710611609107762,0.05766184094481783,4968
Composite_RollingRankIC,20230831,0.04135320028865113,0.11432770118095721,5001
Composite_RollingRankIC,20230928,0.027313236484050103,0.04525035106167224,5017
Composite_RollingRankIC,20231031,0.056900012036605434,0.002379991949858764,5030
Composite_RollingRankIC,20231130,0.08201752777721662,0.1768288955306751,5048
Composite_RollingRankIC,20231229,0.15731220620262334,0.18666004346628423,5065
Composite_RollingRankIC,20240131,-0.1869062269297985,-0.16318048273049174,5085
Composite_RollingRankIC,20240229,0.025555334268510112,0.056410674225242145,5089
Composite_RollingRankIC,20240329,0.17043198854280037,0.21949153308795818,5097
Composite_RollingRankIC,20240430,0.09195216992830726,0.16063847129141837,5064
Composite_RollingRankIC,20240531,0.0821002332536524,0.14518398255671577,5092
Composite_RollingRankIC,20240628,-0.1305071942589794,-0.12913206625904813,5099
Composite_RollingRankIC,20240731,0.02958317481213089,0.07363786871382785,5100
Composite_RollingRankIC,20240830,-0.16826053576970898,-0.19507399466571287,5108
Composite_RollingRankIC,20240930,-0.10214531395991618,-0.0607172685559919,5109
Composite_RollingRankIC,20241031,-0.029450711570886978,-0.023539145156231903,5114
Composite_RollingRankIC,20241129,0.22337267172975694,0.3384685814416434,5129
