composite_factor,trade_date,bucket,average_forward_return,stock_count
Composite_Equal,20230630,2,0.010420184244336246,494
Composite_Equal,20230630,3,0.010859907717891512,494
Composite_Equal,20230630,4,0.011225210038182772,494
Composite_Equal,20230630,5,0.006927143827736355,492
Composite_Equal,20230630,6,0.008082341782487505,494
Composite_Equal,20230630,7,-0.005580186845632073,494
Composite_Equal,20230630,8,-0.011795305699959152,494
Composite_Equal,20230630,9,-0.013571048616255679,493
Composite_Equal,20230630,10,-0.02157440669750239,494
Composite_Equal,20230731,1,-0.040728545966887,496
Composite_Equal,20230731,2,-0.04769986114720113,497
Composite_Equal,20230731,3,-0.050444326336711275,497
Composite_Equal,20230731,4,-0.04088411076846365,497
Composite_Equal,20230731,5,-0.04243483804242212,497
Composite_Equal,20230731,6,-0.04091909451555538,496
Composite_Equal,20230731,7,-0.035433601430451656,497
Composite_Equal,20230731,8,-0.025605494872343527,497
Composite_Equal,20230731,9,-0.02141127588944339,497
Composite_Equal,20230731,10,-0.013317246632684474,497
Composite_Equal,20230831,1,-0.0019145515151811846,500
Composite_Equal,20230831,2,0.0026004367320734854,500
Composite_Equal,20230831,3,-0.0022095121365584476,500
Composite_Equal,20230831,4,-0.0064198560327405904,500
Composite_Equal,20230831,5,0.0007899578486693155,500
Composite_Equal,20230831,6,-0.0060885019600147635,500
Composite_Equal,20230831,7,-0.00046141662786673953,500
Composite_Equal,20230831,8,-0.013861243708987918,500
Composite_Equal,20230831,9,-0.016975579892740657,500
Composite_Equal,20230831,10,-0.029802301903737134,501
Composite_Equal,20230928,1,0.010020107721780667,501
Composite_Equal,20230928,2,0.0015770850995573027,502
Composite_Equal,20230928,3,-0.005313262255712316,502
Composite_Equal,20230928,4,0.0025238701024878616,502
Composite_Equal,20230928,5,-0.003126009257938013,502
Composite_Equal,20230928,6,-0.007481881606498437,501
Composite_Equal,20230928,7,-0.005056701144503622,502
Composite_Equal,20230928,8,-0.008538986516467343,502
Composite_Equal,20230928,9,-0.020034780883170813,501
Composite_Equal,20230928,10,-0.0198433538521094,502
Composite_Equal,20231031,1,0.061907038243587766,503
Composite_Equal,20231031,2,0.053343406590693615,503
Composite_Equal,20231031,3,0.04707158050485765,503
Composite_Equal,20231031,4,0.045286998458267745,502
Composite_Equal,20231031,5,0.040112184953162294,504
Composite_Equal,20231031,6,0.041673523374889686,503
Composite_Equal,20231031,7,0.06364769871396071,502
Composite_Equal,20231031,8,0.05031936108542044,503
Composite_Equal,20231031,9,0.06569348230559366,503
Composite_Equal,20231031,10,0.0778382738042135,504
Composite_Equal,20231130,1,-0.024970626142866537,504
Composite_Equal,20231130,2,-0.03299495782352578,505
Composite_Equal,20231130,3,-0.028295210141088992,505
Composite_Equal,20231130,4,-0.019633759387254462,505
Composite_Equal,20231130,5,-0.02443398529368735,505
Composite_Equal,20231130,6,-0.011519419648853377,505
Composite_Equal,20231130,7,-0.008209343631507313,505
Composite_Equal,20231130,8,-0.004820383551854219,504
Composite_Equal,20231130,9,0.028628975937798375,505
Composite_Equal,20231130,10,0.10044462394857175,505
Composite_Equal,20231229,1,-0.2230912030917672,506
Composite_Equal,20231229,2,-0.22120207150812338,507
Composite_Equal,20231229,3,-0.20917271073837562,506
Composite_Equal,20231229,4,-0.2006515040663094,507
Composite_Equal,20231229,5,-0.20419436792619242,506
Composite_Equal,20231229,6,-0.1897976043876387,507
Composite_Equal,20231229,7,-0.19615833077565029,506
Composite_Equal,20231229,8,-0.18393990822106154,507
Composite_Equal,20231229,9,-0.18113896077746727,506
Composite_Equal,20231229,10,-0.20665591040627468,507
Composite_Equal,20240131,1,0.10644327371249401,508
Composite_Equal,20240131,2,0.08744285548980031,509
Composite_Equal,20240131,3,0.07813444165940196,508
Composite_Equal,20240131,4,0.08374234328416637,509
Composite_Equal,20240131,5,0.07760762121836985,508
Composite_Equal,20240131,6,0.07977866577283912,509
Composite_Equal,20240131,7,0.08924619148037066,508
Composite_Equal,20240131,8,0.09251041027151048,509
Composite_Equal,20240131,9,0.09985936585830592,508
Composite_Equal,20240131,10,0.09302679625841913,509
Composite_Equal,20240229,1,0.048007755654555145,508
Composite_Equal,20240229,2,0.05504323639567402,509
Composite_Equal,20240229,3,0.06662371102557924,509
Composite_Equal,20240229,4,0.049706193135685736,509
Composite_Equal,20240229,5,0.06311579305129271,509
Composite_Equal,20240229,6,0.05573266767658497,509
Composite_Equal,20240229,7,0.05800124560262637,509
Composite_Equal,20240229,8,0.049407580546038166,509
Composite_Equal,20240229,9,0.04218900660529352,509
Composite_Equal,20240229,10,0.014222382994685166,509
Composite_Equal,20240329,1,-0.059300460055732064,508
Composite_Equal,20240329,2,-0.020874987396516897,509
Composite_Equal,20240329,3,-0.023416868755613444,510
Composite_Equal,20240329,4,-0.019218968515485955,510
Composite_Equal,20240329,5,-0.006068277066503658,510
Composite_Equal,20240329,6,-0.004906111901171335,510
Composite_Equal,20240329,7,0.003239898874001637,510
Composite_Equal,20240329,8,0.0012519768494419256,510
Composite_Equal,20240329,9,-0.005219741786308968,510
Composite_Equal,20240329,10,-0.006547693351855133,510
Composite_Equal,20240430,1,-0.0681507961171141,506
