factor,trade_date,baseline_log_total_mv,portfolio_log_total_mv,active_log_total_mv,portfolio_size_percentile,baseline_count,holding_count,missing_size_count
Gross_Margin,20240731,13.12310290013492,13.293397641722175,0.170294741587254,0.5458724093089725,5005,1001,0
Gross_Margin,20240830,13.078507708748862,13.234577821226233,0.15607011247737113,0.5426783073197639,5014,1003,0
Gross_Margin,20240930,13.282786757126239,13.450210377529217,0.1674236204029782,0.5455292154624212,5018,1003,0
Gross_Margin,20241031,13.353984561672252,13.513635367554079,0.15965080588182623,0.544973629972345,5022,1004,0
Gross_Margin,20241129,13.398924098446054,13.562523863703136,0.1635997652570822,0.5469147461021461,5036,1007,0
Gross_Margin,20241231,13.339214372347605,13.497263485552912,0.15804911320530657,0.5431571751167147,5045,1009,0
Gross_Margin,20250127,13.324032351640131,13.474406223482712,0.15037387184258044,0.5416150686718854,5059,1012,0
Gross_Margin,20250228,13.395517000957732,13.54299930838547,0.1474823074277385,0.5408833625104048,5062,1012,0
Gross_Margin,20250331,13.395314033090614,13.546013384540151,0.1506993514495374,0.5412792014120422,5066,1013,0
Gross_Margin,20250430,13.383136046635181,13.561599858206637,0.17846381157145608,0.549939863306527,5039,1007,0
Gross_Margin,20250530,13.416940312275102,13.58233909348639,0.16539878121128737,0.5473656044123182,5069,1013,0
Gross_Margin,20250630,13.467482447827155,13.626031235212443,0.15854878738528733,0.5450403285653329,5088,1017,0
Gross_Margin,20250731,13.51557594534022,13.702439658790805,0.1868637134505846,0.5541596804964747,5095,1019,0
Gross_Margin,20250829,13.590124649059849,13.767030892339946,0.1769062432800972,0.5483030565167244,5100,1020,0
Gross_Margin,20250930,13.592476889410516,13.740272630480888,0.14779574107037163,0.5391671147101166,5108,1021,0
Gross_Margin,20251031,13.606359646627618,13.752651919887946,0.14629227326032712,0.5423689624438367,5119,1024,0
Gross_Margin,20251128,13.592566129925368,13.731952610382837,0.13938648045746937,0.5406144208983071,5124,1025,0
Gross_Margin,20251231,13.606892263464418,13.734812446541097,0.12792018307667874,0.5364302994606913,5143,1029,0
Gross_Margin,20260130,13.679081703472983,13.80600052100509,0.12691881753210765,0.5359624962095849,5153,1031,0
Gross_Margin,20260227,13.713070741058718,13.81511594894779,0.10204520788907168,0.5289032257096593,5162,1033,0
