factor,trade_date,ic,rank_ic,sample_count
Debt_to_Equity,20240930,-0.09263381408194561,-0.16086264351869994,5113
Debt_to_Equity,20241031,0.08410321455744614,0.13777189268510992,5119
Debt_to_Equity,20241129,-0.0730804308232838,-0.044117651980131144,5134
Debt_to_Equity,20241231,0.11557296251223334,0.14388413535005076,5143
Debt_to_Equity,20250127,0.0481198749116809,0.021551942365367335,5156
Debt_to_Equity,20250228,0.037312789459700214,0.0479078114099464,5158
Debt_to_Equity,20250331,-0.010596400177728633,0.0113447644569072,5161
Debt_to_Equity,20250430,-0.02811966747222681,0.027301060148631807,5133
Debt_to_Equity,20250530,-0.003753545156177919,0.025303726792113172,5164
Debt_to_Equity,20250630,0.03755475926085562,0.06605886145242787,5177
Debt_to_Equity,20250731,0.06545779166322471,0.013221822194566541,5190
Debt_to_Equity,20250829,0.0008138406693439901,-0.09079332778599344,5195
Debt_to_Equity,20250930,-0.05467642566080238,-0.017901949903352223,5203
Debt_to_Equity,20251031,-0.037434562335579076,-0.026939211079417918,5214
Debt_to_Equity,20251128,0.06784072069248796,0.04084530097328569,5217
Debt_to_Equity,20251231,0.03318705440468735,0.033789663409462274,5237
Debt_to_Equity,20260130,-0.01697155502613234,-0.10948455464441491,5249
Debt_to_Equity,20260227,-0.0661121534313932,-0.04449865425118258,5258
Debt_to_Equity,20260331,0.04882800378862541,0.01762311110388207,5266
Debt_to_Equity,20260430,-0.004732551905531163,-0.01564224116546048,5281
Debt_to_Equity,20260529,0.07007786844604787,0.08384340082108269,5296
Debt_to_Equity,20260630,-0.039791738247529275,-0.0169045850286148,5300
Dividend_Yield,20220128,-0.049611313167355106,-0.09205540093324992,3043
Dividend_Yield,20220228,0.20237255869569953,0.22976070586312725,3047
Dividend_Yield,20220331,0.2038193949328576,0.2600094586555538,3036
Dividend_Yield,20220429,-0.17964665060565646,-0.19821329340925412,2960
Dividend_Yield,20220531,-0.11047630790548764,-0.11545637944909143,2804
Dividend_Yield,20220630,-0.11014039999715461,-0.12097106375803451,2984
Dividend_Yield,20220729,0.17916847635673908,0.2333389953981073,3197
Dividend_Yield,20220831,0.15559722562934789,0.2154378461792157,3277
Dividend_Yield,20220930,-0.23170699705841027,-0.24185977599804742,3297
Dividend_Yield,20221031,0.17979190874315232,0.2714954060317586,3303
Dividend_Yield,20221130,0.01843081391375915,0.040069728869952755,3316
Dividend_Yield,20221230,-0.08357516314117326,-0.07361702012008027,3314
Dividend_Yield,20230131,0.10071728737253989,0.15611005758302413,3313
Dividend_Yield,20230228,-0.01556598432244868,0.02803622196757421,3313
Dividend_Yield,20230331,0.1818641799501952,0.23186880411078747,3308
Dividend_Yield,20230428,-0.13554246206741533,-0.14557008010149128,3240
Dividend_Yield,20230531,-0.005078595031074578,0.019019945373401084,3053
Dividend_Yield,20230630,0.24223960251195273,0.31163767787250873,3182
Dividend_Yield,20230731,0.024074126793999444,0.04082171190356335,3377
Dividend_Yield,20230831,0.03553072230006337,0.06277192153089259,3409
Dividend_Yield,20230928,-0.05017681887376258,-0.04157413195248981,3431
Dividend_Yield,20231031,0.08938659134299429,-0.01790667285659861,3461
Dividend_Yield,20231130,0.12623261873208566,0.17457851384840567,3474
Dividend_Yield,20231229,0.4047853743629557,0.35407985457716745,3482
