factor,trade_date,decile,average_forward_return,stock_count
Debt_to_Equity,20240430,10,-0.052258856645265195,507
Debt_to_Equity,20240531,1,-0.07022854858739917,508
Debt_to_Equity,20240531,2,-0.06616286270034988,509
Debt_to_Equity,20240531,3,-0.057858263174489874,510
Debt_to_Equity,20240531,4,-0.05781646597909435,509
Debt_to_Equity,20240531,5,-0.056218599596334386,510
Debt_to_Equity,20240531,6,-0.05007406718843715,509
Debt_to_Equity,20240531,7,-0.05431093458994279,509
Debt_to_Equity,20240531,8,-0.05342698200825614,510
Debt_to_Equity,20240531,9,-0.054959136632174874,509
Debt_to_Equity,20240531,10,-0.04728577719908016,510
Debt_to_Equity,20240628,1,0.024601470480800944,509
Debt_to_Equity,20240628,2,-0.0062856014763523135,510
Debt_to_Equity,20240628,3,0.0015613442759492516,510
Debt_to_Equity,20240628,4,-0.0010405565696441144,511
Debt_to_Equity,20240628,5,-0.0059225327511685764,510
Debt_to_Equity,20240628,6,-0.008126740708093362,510
Debt_to_Equity,20240628,7,0.001748016018835299,510
Debt_to_Equity,20240628,8,0.0025095376815356552,510
Debt_to_Equity,20240628,9,0.002454430807856659,510
Debt_to_Equity,20240628,10,-0.0026149057129279413,511
Debt_to_Equity,20240731,1,-0.0361528015115186,510
Debt_to_Equity,20240731,2,-0.059690270207588124,510
Debt_to_Equity,20240731,3,-0.058190718451467616,510
Debt_to_Equity,20240731,4,-0.04353933452750967,511
Debt_to_Equity,20240731,5,-0.056262216264914934,510
Debt_to_Equity,20240731,6,-0.04842645067107361,510
Debt_to_Equity,20240731,7,-0.057122850007803906,511
Debt_to_Equity,20240731,8,-0.0678409024771637,510
Debt_to_Equity,20240731,9,-0.06760922393013012,510
Debt_to_Equity,20240731,10,-0.06265976284691456,511
Debt_to_Equity,20240830,1,0.3546216786660017,511
Debt_to_Equity,20240830,2,0.3509374507548548,511
Debt_to_Equity,20240830,3,0.3476833529481927,511
Debt_to_Equity,20240830,4,0.34981691272064624,511
Debt_to_Equity,20240830,5,0.35340106686005074,511
Debt_to_Equity,20240830,6,0.3712666797038408,511
Debt_to_Equity,20240830,7,0.36978901128671354,511
Debt_to_Equity,20240830,8,0.38452000541378295,511
Debt_to_Equity,20240830,9,0.41880544095179556,511
Debt_to_Equity,20240830,10,0.42132224298343274,512
Debt_to_Equity,20240930,1,0.004284006195201681,511
Debt_to_Equity,20240930,2,-0.015868469807317577,511
Debt_to_Equity,20240930,3,-0.025085958577342034,512
Debt_to_Equity,20240930,4,-0.03299253692737187,511
Debt_to_Equity,20240930,5,-0.0465297023081315,512
Debt_to_Equity,20240930,6,-0.04448537604858025,511
Debt_to_Equity,20240930,7,-0.05218463516839419,510
Debt_to_Equity,20240930,8,-0.04147466122586104,512
Debt_to_Equity,20240930,9,-0.05114661706794888,511
Debt_to_Equity,20240930,10,-0.06358027362779224,512
Debt_to_Equity,20241031,1,0.0765767579498805,512
Debt_to_Equity,20241031,2,0.09495843048631347,512
Debt_to_Equity,20241031,3,0.09510410884088251,512
Debt_to_Equity,20241031,4,0.10475985505817677,512
Debt_to_Equity,20241031,5,0.12900715737199295,512
Debt_to_Equity,20241031,6,0.13784763761134222,511
Debt_to_Equity,20241031,7,0.11727696814859172,512
Debt_to_Equity,20241031,8,0.12406011653863211,512
Debt_to_Equity,20241031,9,0.12767535697165894,512
Debt_to_Equity,20241031,10,0.14095360210000918,512
Debt_to_Equity,20241129,1,-0.07358736316266226,513
Debt_to_Equity,20241129,2,-0.08494901629101975,513
Debt_to_Equity,20241129,3,-0.07972131140303683,514
Debt_to_Equity,20241129,4,-0.08714403056266601,513
Debt_to_Equity,20241129,5,-0.08822064202023835,514
Debt_to_Equity,20241129,6,-0.09210866801028816,513
Debt_to_Equity,20241129,7,-0.09142273690964041,513
Debt_to_Equity,20241129,8,-0.09552967744738307,514
Debt_to_Equity,20241129,9,-0.09630265239138233,513
Debt_to_Equity,20241129,10,-0.09240359748049193,514
Debt_to_Equity,20241231,1,-0.01738378923401155,514
Debt_to_Equity,20241231,2,0.001189175213473695,514
Debt_to_Equity,20241231,3,0.003315168199464278,514
Debt_to_Equity,20241231,4,0.015054890480387727,515
Debt_to_Equity,20241231,5,0.016979118960813066,514
Debt_to_Equity,20241231,6,0.02391484781188931,514
Debt_to_Equity,20241231,7,0.022183906482210063,515
Debt_to_Equity,20241231,8,0.017657888027021534,514
Debt_to_Equity,20241231,9,0.03408689167386938,514
Debt_to_Equity,20241231,10,0.022722443147514447,515
Debt_to_Equity,20250127,1,0.06800618409778347,515
Debt_to_Equity,20250127,2,0.08095987774432922,516
Debt_to_Equity,20250127,3,0.08098811703767742,516
Debt_to_Equity,20250127,4,0.08794987474368096,515
Debt_to_Equity,20250127,5,0.08506923999430457,516
Debt_to_Equity,20250127,6,0.08012445813816554,515
Debt_to_Equity,20250127,7,0.06803310788767201,515
Debt_to_Equity,20250127,8,0.0756168534524699,516
Debt_to_Equity,20250127,9,0.08220854949864968,516
Debt_to_Equity,20250127,10,0.09174772426876501,516
Debt_to_Equity,20250228,1,-0.010219670925251313,515
Debt_to_Equity,20250228,2,0.0035884160494571325,516
Debt_to_Equity,20250228,3,0.006757294688923556,516
Debt_to_Equity,20250228,4,0.00955783915537754,516
Debt_to_Equity,20250228,5,0.01157108542092518,516
Debt_to_Equity,20250228,6,0.014941879438312924,515
Debt_to_Equity,20250228,7,0.019057891210092246,516
Debt_to_Equity,20250228,8,0.014238977337441143,516
Debt_to_Equity,20250228,9,0.008975867274938031,516
Debt_to_Equity,20250228,10,0.011848834709863401,516
Debt_to_Equity,20250331,1,0.0010366165878122216,516
Debt_to_Equity,20250331,2,-0.005004154431634421,516
Debt_to_Equity,20250331,3,-0.0014762994715055142,516
Debt_to_Equity,20250331,4,-0.007630858734346959,516
Debt_to_Equity,20250331,5,-0.0015193047746017026,517
Debt_to_Equity,20250331,6,-0.00939703193304886,516
Debt_to_Equity,20250331,7,-0.004461624037480409,516
Debt_to_Equity,20250331,8,-0.0038282671465368965,516
Debt_to_Equity,20250331,9,0.0021372309654017307,515
Debt_to_Equity,20250331,10,0.0057327649054234,517
Debt_to_Equity,20250430,1,0.03214306596277781,513
Debt_to_Equity,20250430,2,0.020259833237788846,514
Debt_to_Equity,20250430,3,0.02337048763613997,512
Debt_to_Equity,20250430,4,0.02553931326149548,513
Debt_to_Equity,20250430,5,0.03369935891562935,513
Debt_to_Equity,20250430,6,0.026470822141254836,514
Debt_to_Equity,20250430,7,0.02888136645870463,513
Debt_to_Equity,20250430,8,0.03007238198254344,514
Debt_to_Equity,20250430,9,0.04687200682864421,513
Debt_to_Equity,20250430,10,0.03468711289718859,514
Debt_to_Equity,20250530,1,0.06046196958105463,516
Debt_to_Equity,20250530,2,0.05159429241899966,516
Debt_to_Equity,20250530,3,0.057189396762845505,516
Debt_to_Equity,20250530,4,0.04772520103566936,517
Debt_to_Equity,20250530,5,0.056003118046134594,516
Debt_to_Equity,20250530,6,0.07051894715236824,517
Debt_to_Equity,20250530,7,0.05268734418482122,516
Debt_to_Equity,20250530,8,0.05889929913277983,517
Debt_to_Equity,20250530,9,0.058370048968083246,516
Debt_to_Equity,20250530,10,0.06511677857505264,517
Debt_to_Equity,20250630,1,0.04256237665947348,515
Debt_to_Equity,20250630,2,0.03666533571384814,517
Debt_to_Equity,20250630,3,0.05646299900048109,519
Debt_to_Equity,20250630,4,0.05406094392137896,518
Debt_to_Equity,20250630,5,0.0372323483297595,519
Debt_to_Equity,20250630,6,0.07137097166293338,518
Debt_to_Equity,20250630,7,0.06315413645711211,518
Debt_to_Equity,20250630,8,0.06646568736896094,518
Debt_to_Equity,20250630,9,0.05390441162830731,517
Debt_to_Equity,20250630,10,0.06542985432319817,518
Debt_to_Equity,20250731,1,0.06620809579689803,519
Debt_to_Equity,20250731,2,0.09631095265481347,518
Debt_to_Equity,20250731,3,0.09299277552554906,519
Debt_to_Equity,20250731,4,0.10539855747214083,519
Debt_to_Equity,20250731,5,0.10309975206194294,519
Debt_to_Equity,20250731,6,0.0928492807347202,519
Debt_to_Equity,20250731,7,0.08968057233835906,519
Debt_to_Equity,20250731,8,0.09462910743924934,519
Debt_to_Equity,20250731,9,0.07853839088839197,519
Debt_to_Equity,20250731,10,0.10157911171585073,520
Debt_to_Equity,20250829,1,0.006613688281940695,519
Debt_to_Equity,20250829,2,0.036454504094577365,520
Debt_to_Equity,20250829,3,0.025701942016128226,519
Debt_to_Equity,20250829,4,0.013442333323728845,520
Debt_to_Equity,20250829,5,0.013447736313733315,519
Debt_to_Equity,20250829,6,-0.002577304578655112,519
Debt_to_Equity,20250829,7,0.00041857048201034976,520
Debt_to_Equity,20250829,8,-0.002925637598197651,519
Debt_to_Equity,20250829,9,-0.005125001262450124,520
Debt_to_Equity,20250829,10,-0.008068233147852632,520
Debt_to_Equity,20250930,1,0.029734278462224425,520
Debt_to_Equity,20250930,2,0.015978029161622404,519
