factor,trade_date,ic,rank_ic,sample_count
Debt_to_Equity,20250331,-0.010352275519006767,0.012370133549528548,5161
Debt_to_Equity,20250430,-0.019380112766856472,-0.01667720446994902,5133
Debt_to_Equity,20250530,-0.02643164242432381,-0.0017388651119434005,5164
Debt_to_Equity,20250630,0.010096062800865249,0.02202162121631601,5177
Debt_to_Equity,20250731,0.0213829891740717,-0.005227713507737727,5190
Debt_to_Equity,20250829,0.004872830194089929,-0.004198503493911659,5195
Debt_to_Equity,20250930,-0.029566360983753023,0.010325228067915158,5203
Debt_to_Equity,20251031,-0.035839684180410177,-0.024268017818355424,5214
Debt_to_Equity,20251128,0.04844502433772085,0.017299774620103042,5217
Debt_to_Equity,20251231,0.014038309120788912,0.04857885882488672,5237
Debt_to_Equity,20260130,-0.03231960635046703,-0.04568256606830075,5249
Debt_to_Equity,20260227,-0.03264179420316596,-0.02357043195101757,5258
Debt_to_Equity,20260331,0.02690087548707834,0.014183244952254748,5266
Debt_to_Equity,20260430,0.0035431638630877577,0.01747161516247095,5281
Debt_to_Equity,20260529,0.046783721851326454,0.007367334582692125,5296
Debt_to_Equity,20260630,0.0036420394603347574,0.0018747066648787968,5300
Dividend_Yield,20220128,-0.02224453617961607,-0.04304112003962108,3043
Dividend_Yield,20220228,0.08168863808308324,0.06300277732912754,3047
Dividend_Yield,20220331,0.10311966518898401,0.11662432448432525,3036
Dividend_Yield,20220429,-0.10782923279107567,-0.09822542801006216,2960
Dividend_Yield,20220531,-0.06199197136979838,-0.04855769324944228,2804
Dividend_Yield,20220630,-0.04630982445910138,-0.024396911380749193,2984
Dividend_Yield,20220729,0.10107980407986587,0.1163904782596721,3197
Dividend_Yield,20220831,0.09244853205702158,0.12343222410652366,3277
Dividend_Yield,20220930,-0.06691641719046007,-0.009733608616316081,3297
Dividend_Yield,20221031,0.0813391429260303,0.07281666719945282,3303
Dividend_Yield,20221130,-0.0036777073428610084,0.019423662376380622,3316
Dividend_Yield,20221230,-0.022701842031317004,0.00776139885288881,3314
Dividend_Yield,20230131,0.12054239436757042,0.16748121965213453,3313
Dividend_Yield,20230228,0.0536431379051003,0.14481136546174084,3313
Dividend_Yield,20230331,0.09784564592047458,0.09122788722587719,3308
Dividend_Yield,20230428,-0.0155915392737457,0.04710032001277945,3240
Dividend_Yield,20230531,-0.024110492442067803,-0.042695426738721,3053
Dividend_Yield,20230630,0.10881103384011073,0.07383645871130148,3182
Dividend_Yield,20230731,0.04003804017576274,0.07838558304989886,3377
Dividend_Yield,20230831,0.029002938258542627,0.07230955629547638,3409
Dividend_Yield,20230928,-0.05104818578088488,-0.06613233643400879,3431
Dividend_Yield,20231031,0.14883387568200995,0.058734683211208095,3461
Dividend_Yield,20231130,0.1885351220180357,0.14836143422081807,3474
